Player,Nationality,Position,Club,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!.1,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
Liel Abada, ISR,"FW,MF",Celtic,20,2001,5,217,43.0,40.2,2.4,4,53.0,0,1,5.0,0,0.4,1.0,5.0,-4.0,-1.66,0.29,4.0,5.3,-1.2,-0.52,-0.38
Oliver Abildgaard, DEN,MF,Celtic,26,1996,2,63,32.0,11.7,0.7,0,,0,2,32.0,3,0.0,2.0,2.0,0.0,0.0,2.08,0.6,2.3,-1.7,-2.45,-2.45
Mohammad Abu Fani, ISR,MF,Maccabi Haifa,24,1998,6,400,67.0,74.1,4.4,4,80.0,2,2,40.0,0,1.18,4.0,19.0,-15.0,-3.38,-4.02,4.3,7.7,-3.3,-0.75,-0.72
Francesco Acerbi, ITA,DF,Inter,34,1988,12,921,77.0,78.7,10.2,10,90.0,10,2,11.0,1,2.0,16.0,7.0,9.0,0.88,1.24,16.0,10.2,5.8,0.57,1.66
Marcos Acuña, ARG,"DF,MF",Sevilla,30,1991,4,219,55.0,40.6,2.4,3,68.0,1,1,14.0,1,1.0,4.0,5.0,-1.0,-0.41,0.99,1.9,5.1,-3.3,-1.35,-0.92
Junior Adamu, AUT,FW,RB Salzburg,21,2001,6,204,34.0,37.8,2.3,2,71.0,0,4,16.0,0,1.0,2.0,5.0,-3.0,-1.32,-1.06,3.9,3.6,0.3,0.12,-0.17
Antonio Adán, ESP,GK,Sporting CP,35,1987,5,382,76.0,70.7,4.2,5,76.0,4,0,,0,1.4,8.0,5.0,3.0,0.71,2.99,3.4,5.4,-2.0,-0.47,1.84
Arijan Ademi, MKD,MF,Dinamo Zagreb,31,1991,6,471,79.0,87.2,5.2,6,79.0,2,0,,0,1.42,4.0,9.0,-5.0,-0.96,1.65,3.4,8.7,-5.3,-1.02,2.94
Karim Adeyemi, GER,"FW,MF",Dortmund,20,2002,6,376,63.0,52.2,4.2,5,75.0,1,1,3.0,0,1.5,6.0,3.0,3.0,0.72,0.46,6.2,7.2,-1.0,-0.24,-0.26
Amine Adli, FRA,"FW,MF",Leverkusen,22,2000,4,121,30.0,22.4,1.3,1,56.0,0,3,22.0,0,0.5,0.0,3.0,-3.0,-2.23,-2.02,2.5,3.5,-1.0,-0.72,-1.26
Adrián, ESP,GK,Liverpool,35,1987,0,,,,,0,,0,0,,8,,,,,,,,,,,
Manuel Akanji, SUI,DF,Manchester City,27,1995,11,945,86.0,80.8,10.5,10,90.0,10,1,45.0,1,2.09,24.0,4.0,20.0,1.9,-0.9,20.0,8.8,11.2,1.06,-0.85
Nathan Aké, NED,DF,Manchester City,27,1995,8,608,76.0,52.0,6.8,7,86.0,6,1,3.0,3,2.0,15.0,2.0,13.0,1.92,-0.32,11.7,6.7,5.0,0.74,-1.02
Ilias Akhomach, ESP,FW,Barcelona,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
David Alaba, AUT,DF,Real Madrid,30,1992,11,711,65.0,65.8,7.9,9,74.0,5,2,23.0,0,2.09,16.0,9.0,7.0,0.89,-0.58,15.3,12.5,2.8,0.36,-0.52
Lucas Alario, ARG,"FW,MF",Eint Frankfurt,29,1992,2,20,10.0,2.8,0.2,0,,0,2,10.0,6,1.5,0.0,1.0,-1.0,-4.5,-3.86,0.4,0.4,0.0,0.12,0.76
Jordi Alba, ESP,DF,Barcelona,33,1989,2,146,73.0,27.0,1.6,2,73.0,1,0,,4,3.0,8.0,2.0,6.0,3.7,5.07,4.1,2.5,1.6,1.01,1.25
Thiago Alcántara, ESP,MF,Liverpool,31,1991,5,306,61.0,42.5,3.4,3,85.0,0,2,26.0,0,2.4,9.0,1.0,8.0,2.35,2.57,7.6,1.3,6.2,1.82,2.29
Trent Alexander-Arnold, ENG,DF,Liverpool,23,1998,7,625,89.0,86.8,6.9,7,89.0,5,0,,0,1.71,11.0,11.0,0.0,0.0,-6.63,11.5,10.1,1.4,0.2,-2.32
Sotiris Alexandropoulos, GRE,MF,Sporting CP,20,2001,3,121,40.0,22.4,1.3,0,,0,3,40.0,3,1.0,2.0,1.0,1.0,0.74,1.17,0.6,2.5,-1.9,-1.41,-0.52
Faride Alidou, GER,"DF,FW",Eint Frankfurt,21,2001,5,73,15.0,10.1,0.8,0,,0,5,15.0,3,1.2,1.0,1.0,0.0,0.0,0.83,0.8,2.0,-1.2,-1.47,-0.95
Alisson, BRA,GK,Liverpool,29,1992,8,720,90.0,100.0,8.0,8,90.0,8,0,,0,1.88,19.0,12.0,7.0,0.87,,14.7,10.6,4.1,0.51,
Connor Allan, SCO,MF,Rangers,18,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
Marcos Alonso, ESP,DF,Barcelona,31,1990,5,403,81.0,74.6,4.5,5,81.0,3,0,,0,0.8,5.0,10.0,-5.0,-1.12,-4.4,7.1,7.5,-0.4,-0.1,-0.78
Éder Álvarez Balanta, COL,"MF,FW",Club Brugge,29,1993,4,50,13.0,6.9,0.6,0,,0,4,13.0,1,1.75,0.0,0.0,0.0,0.0,0.4,0.5,1.8,-1.3,-2.37,-1.34
Carlos Álvarez, ESP,FW,Sevilla,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Edson Álvarez, MEX,MF,Ajax,24,1997,6,531,89.0,98.3,5.9,6,89.0,4,0,,0,1.0,11.0,16.0,-5.0,-0.85,-0.85,8.3,12.2,-3.8,-0.65,-0.1
Julián Álvarez, ARG,FW,Manchester City,22,2000,10,474,47.0,40.5,5.3,4,90.0,4,6,19.0,3,2.4,15.0,1.0,14.0,2.66,0.98,12.2,3.0,9.2,1.74,0.86
Nadiem Amiri, GER,"MF,FW",Leverkusen,25,1996,5,123,25.0,22.8,1.4,1,90.0,1,4,8.0,1,1.0,2.0,3.0,-1.0,-0.73,-0.08,1.7,3.4,-1.7,-1.24,-1.94
Robert Andrich, GER,MF,Leverkusen,27,1994,5,407,81.0,75.4,4.5,5,81.0,3,0,,0,1.0,4.0,4.0,0.0,0.0,2.71,6.5,4.7,1.8,0.39,0.56
Peter Ankersen, DEN,DF,FC Copenhagen,31,1990,1,25,25.0,4.6,0.3,0,,0,1,25.0,3,1.5,0.0,1.0,-1.0,-3.6,-1.85,0.4,1.1,-0.7,-2.47,-1.48
Ofri Arad, ISR,"DF,MF",Maccabi Haifa,23,1998,2,22,11.0,4.1,0.2,0,,0,2,11.0,4,0.75,0.0,3.0,-3.0,-12.27,-10.36,0.2,0.7,-0.6,-2.43,-1.94
Charles Aránguiz, CHI,MF,Leverkusen,33,1989,4,215,54.0,39.8,2.4,3,71.0,1,1,2.0,0,0.75,0.0,5.0,-5.0,-2.09,-2.37,4.3,2.4,1.9,0.79,0.9
Henrique Araújo, POR,FW,Benfica,20,2002,1,9,9.0,1.0,0.1,0,,0,1,9.0,4,3.0,2.0,0.0,2.0,20.0,18.89,0.4,0.0,0.4,4.17,3.38
Ronald Araújo, URU,DF,Barcelona,23,1999,1,90,90.0,16.7,1.0,1,90.0,1,0,,1,0.0,0.0,2.0,-2.0,-2.0,-2.4,2.0,1.7,0.3,0.32,0.26
Scott Arfield, CAN,MF,Rangers,33,1988,4,267,67.0,49.4,3.0,3,81.0,1,1,24.0,2,1.0,1.0,11.0,-10.0,-3.37,-0.07,2.2,6.1,-3.9,-1.31,0.51
Hákon Arnar Haraldsson, ISL,FW,FC Copenhagen,19,2003,6,298,50.0,55.2,3.3,3,73.0,1,3,26.0,0,0.88,1.0,4.0,-3.0,-0.91,2.07,3.2,4.8,-1.7,-0.51,1.24
Sergio Arribas, ESP,MF,Real Madrid,20,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
Kepa Arrizabalaga, ESP,GK,Chelsea,27,1994,9,810,90.0,90.0,9.0,9,90.0,9,0,,0,1.44,10.0,8.0,2.0,0.22,-0.78,13.5,9.8,3.7,0.42,-1.37
Arthur, BRA,"MF,FW",Sporting CP,24,1998,3,111,37.0,20.6,1.2,1,90.0,1,2,11.0,3,1.33,2.0,3.0,-1.0,-0.81,-0.81,1.0,2.3,-1.3,-1.02,-0.02
